id,submitdate,KL_codiert,MBGs,KRS,Gruppe,TPB_Mean,AT_Mean,AT1,AT2_invert,AT3,AT4,SN_Mean,SN1,SN2,SN3,INT_Mean,INT1,INT2,INT3,PBC_Mean,PBC1,PBC2,B_Mean,B1,B2,B5,B6,B7,B8_invert,B9_invert,B10,interviewtime,Zeit,Zeit_min,PROB1,PROB2,PROB3,PROB4,PROB5,PROB6,PROB7,KL,fehlend,AT2,B3,B4,B8,B9,B3_invert,B4_invert,filter_$
42,2023-05-09T09:30:04Z,6,1,0,1,2.425,2.75,3,3,3,2,2,3,NA,1,3,3,3,3,3,3,3,1.375,1,1,1,3,1,3,0,1,07:24:21,444.35,7.405833333333334,PRB4,PRB1,PRB7,PRB2,PRB6,PRB3,PRB5,A2,1,0,1,2,0,3,2,1,0
69,2023-05-09T10:03:08Z,10,0,0,0,0.6166666666666667,1.25,1,1,2,1,1,0,2,NA,0.3333333333333333,0,1,0,0,0,0,0.5,0,0,0,2,0,0,2,0,07:57:24,477.4,7.956666666666666,PRB6,PRB5,PRB7,PRB1,PRB4,PRB2,PRB3,A6,1,2,1,0,3,1,2,3,1
97,2023-05-09T11:26:41Z,7,0,0,0,0.6571428571428571,0.6666666666666666,NA,2,0,0,0.5,1,0,NA,0.3333333333333333,0,1,0,0.5,0,1,1.2857142857142858,0,NA,2,2,2,1,1,1,06:37:47,397.78333333333336,6.629722222222223,PRB6,PRB1,PRB7,PRB2,PRB4,PRB5,PRB3,A3,4,1,NA,2,2,2,NA,1,0
103,2023-05-09T11:29:06Z,7,0,0,0,0.7166666666666666,1.25,1,2,2,0,0,0,0,0,0.6666666666666666,1,1,0,0.5,1,0,1.1666666666666667,0,0,NA,2,2,2,1,NA,08:30:22,510.3666666666667,8.506111111111112,PRB2,PRB6,PRB1,PRB3,PRB5,PRB7,PRB4,A3,2,1,0,2,1,2,3,1,0
24,2023-05-08T07:48:25Z,9,0,0,0,0.8285714285714285,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1.1428571428571428,0,2,2,1,1,NA,2,0,06:41:54,401.9,6.698333333333333,PRB1,PRB5,PRB7,PRB3,PRB2,PRB4,PRB6,A5,1,2,1,1,NA,1,2,2,1
70,2023-05-09T10:03:54Z,10,0,0,0,0.9,1.75,1,3,2,1,0.3333333333333333,0,1,0,0.6666666666666666,1,1,0,0.5,0,1,1.25,0,2,0,2,2,2,2,0,08:39:16,519.2666666666667,8.654444444444444,PRB2,PRB6,PRB1,PRB4,PRB5,PRB3,PRB7,A6,0,0,2,3,1,1,1,0,1
26,2023-05-08T07:51:37Z,9,0,0,0,0.9583333333333333,1.75,2,2,2,1,0,0,0,0,0.6666666666666666,0,2,0,1,1,1,1.375,0,3,0,1,1,2,3,1,06:03:38,363.6333333333333,6.060555555555555,PRB1,PRB5,PRB2,PRB3,PRB4,PRB7,PRB6,A5,0,1,1,1,1,0,2,2,1
9,2023-05-08T07:48:51Z,9,0,0,0,1.05,1,1,2,1,0,1.6666666666666667,2,2,1,0.3333333333333333,0,1,0,1,1,1,1.25,0,1,2,2,2,2,1,0,10:25:29,625.4833333333333,10.424722222222222,PRB1,PRB5,PRB7,PRB6,PRB2,PRB3,PRB4,A5,0,1,2,2,1,2,1,1,1
56,2023-05-09T10:07:01Z,10,0,0,0,1.0666666666666669,0.6666666666666666,0,1,1,NA,1.6666666666666667,1,2,2,1,1,2,0,1,1,1,1,0,0,2,3,2,0,1,0,12:30:48,750.8,12.513333333333332,PRB2,PRB1,PRB7,PRB6,PRB5,PRB3,PRB4,A6,1,2,0,2,3,2,3,1,1
57,2023-05-09T10:01:23Z,10,0,0,0,1.1333333333333333,2,2,2,3,1,0.3333333333333333,0,1,0,1.3333333333333333,1,2,1,1,0,2,1,0,1,0,2,1,1,2,1,06:51:22,411.3666666666667,6.856111111111111,PRB7,PRB6,PRB5,PRB1,PRB2,PRB3,PRB4,A6,0,1,1,2,2,1,2,1,1
54,2023-05-09T10:03:14Z,10,0,0,0,1.1666666666666667,2,2,3,2,1,0.3333333333333333,0,0,1,1,1,2,0,1.5,1,2,1,0,0,NA,3,1,1,2,0,08:49:22,529.3666666666667,8.822777777777778,PRB4,PRB6,PRB5,PRB1,PRB7,PRB3,PRB2,A6,1,0,1,2,2,1,2,1,1
8,2023-05-08T07:47:44Z,9,0,0,0,1.2738095238095237,2.25,2,3,2,2,0,0,0,0,1.3333333333333333,1,2,1,1.5,1,2,1.2857142857142858,1,2,NA,1,0,2,2,1,09:34:15,574.25,9.570833333333333,PRB6,PRB1,PRB3,PRB2,PRB4,PRB5,PRB7,A5,1,0,3,3,1,1,0,0,1
99,2023-05-09T11:27:19Z,7,0,0,0,1.3166666666666669,1.5,2,3,1,0,1.6666666666666667,1,3,1,0.6666666666666666,0,1,1,1,1,1,1.75,0,1,2,3,3,1,3,1,07:07:34,427.56666666666666,7.126111111111111,PRB1,PRB6,PRB3,PRB4,PRB7,PRB2,PRB5,A3,0,0,1,3,2,0,2,0,0
23,2023-05-08T07:50:22Z,9,0,0,0,1.325,2,3,2,2,1,0.6666666666666666,1,1,0,1.3333333333333333,1,2,1,1,1,1,1.625,2,1,2,2,3,0,2,1,08:43:38,523.6333333333333,8.727222222222222,PRB4,PRB1,PRB2,PRB6,PRB5,PRB3,PRB7,A5,0,1,2,3,3,1,1,0,1
66,2023-05-09T10:05:35Z,10,0,0,0,1.3416666666666666,2,2,3,2,1,1,0,2,1,1.3333333333333333,2,2,0,1,1,1,1.375,1,0,1,2,1,3,2,1,10:37:12,637.2,10.620000000000001,PRB2,PRB5,PRB7,PRB1,PRB3,PRB4,PRB6,A6,0,0,0,2,0,1,3,1,1
12,2023-05-08T07:52:42Z,9,0,0,0,1.4095238095238094,2.5,3,3,3,1,0.6666666666666666,1,1,0,0.6666666666666666,0,2,0,1.5,1,2,1.7142857142857142,1,1,NA,3,1,3,3,0,13:15:42,795.7,13.261666666666667,PRB1,PRB7,PRB5,PRB2,PRB4,PRB6,PRB3,A5,1,0,3,3,0,0,0,0,1
106,2023-05-09T17:13:32Z,10,0,0,0,1.5619047619047617,2,2,3,1,NA,0.6666666666666666,1,1,0,2,1,3,2,2,2,2,1.1428571428571428,1,1,NA,3,1,2,0,0,12:26:44,746.7333333333333,12.445555555555556,PRB6,PRB5,PRB2,PRB1,PRB3,PRB7,PRB4,A6,3,0,3,3,1,3,0,0,1
67,2023-05-09T10:04:47Z,10,0,0,0,1.5666666666666667,2.5,3,2,3,2,0.6666666666666666,1,1,0,1,0,2,1,2,2,2,1.6666666666666667,0,1,NA,2,2,3,2,NA,09:38:24,578.4,9.639999999999999,PRB1,PRB2,PRB4,PRB3,PRB5,PRB6,PRB7,A6,2,1,1,2,0,1,2,1,1
104,2023-05-09T11:30:36Z,7,0,0,0,1.5666666666666667,2.6666666666666665,3,2,3,NA,0.6666666666666666,1,0,1,1.3333333333333333,1,2,1,1.5,2,1,1.6666666666666667,0,2,NA,3,2,1,2,NA,09:45:07,585.1166666666667,9.751944444444444,PRB4,PRB2,PRB6,PRB7,PRB5,PRB1,PRB3,A3,4,1,0,2,2,1,3,1,0
61,2023-05-09T10:01:07Z,10,0,0,0,1.5666666666666669,2,2,2,3,1,1.6666666666666667,0,2,3,0.6666666666666666,0,1,1,2.5,2,3,1,0,1,0,3,2,1,1,0,06:24:01,384.01666666666665,6.400277777777777,PRB3,PRB6,PRB2,PRB5,PRB7,PRB1,PRB4,A6,0,1,2,2,2,2,1,1,1
16,2023-05-08T07:51:45Z,9,0,0,0,1.5666666666666669,2.25,2,3,2,2,0.3333333333333333,1,0,0,2,2,2,2,1.5,2,1,1.75,0,2,0,3,1,3,3,2,11:42:16,702.2666666666667,11.704444444444444,PRB6,PRB1,PRB5,PRB4,PRB2,PRB7,PRB3,A5,0,0,0,1,0,0,3,2,1
15,2023-05-08T07:49:12Z,9,0,0,0,1.6476190476190478,2.5,3,3,2,2,1.6666666666666667,2,1,2,2,2,2,2,0.5,0,1,1.5714285714285714,2,2,NA,1,1,3,2,0,09:27:15,567.25,9.454166666666667,PRB1,PRB4,PRB2,PRB6,PRB3,PRB7,PRB5,A5,1,0,2,3,0,1,1,0,1
85,2023-05-09T10:52:21Z,5,0,0,0,1.65,2.25,2,3,2,2,0.6666666666666666,1,0,1,1.3333333333333333,0,2,2,2,2,2,2,2,2,NA,2,2,2,2,NA,07:03:17,423.28333333333336,7.054722222222223,PRB2,PRB4,PRB1,PRB7,PRB3,PRB6,PRB5,A1,3,0,1,NA,1,1,2,NA,0
18,2023-05-08T07:52:42Z,9,0,0,0,1.6523809523809523,3,3,3,3,NA,1.3333333333333333,1,1,2,1,1,1,1,1.5,1,2,1.4285714285714286,0,1,NA,3,3,2,1,0,12:03:01,723.0166666666667,12.050277777777778,PRB1,PRB4,PRB3,PRB7,PRB5,PRB2,PRB6,A5,3,0,NA,2,1,2,NA,1,1
60,2023-05-09T10:02:51Z,10,0,0,0,1.6595238095238094,2.75,3,3,3,2,1,2,1,0,1.3333333333333333,1,2,1,1.5,1,2,1.7142857142857142,1,1,1,3,1,3,2,NA,08:06:07,486.1166666666667,8.101944444444445,PRB6,PRB2,PRB3,PRB7,PRB4,PRB5,PRB1,A6,1,0,2,2,0,1,1,1,1
11,2023-05-08T07:50:21Z,9,0,0,0,1.675,1.25,1,1,2,1,1,1,1,1,2,2,3,1,2.5,2,3,1.625,3,1,1,1,1,3,2,1,09:23:51,563.85,9.3975,PRB2,PRB4,PRB5,PRB3,PRB1,PRB6,PRB7,A5,0,2,2,2,0,1,1,1,1
63,2023-05-09T10:02:42Z,10,0,0,0,1.7333333333333336,1.5,2,1,2,1,1,0,2,1,1.6666666666666667,1,2,2,2.5,2,3,2,2,2,NA,3,1,1,3,2,07:56:33,476.55,7.9425,PRB2,PRB6,PRB5,PRB7,PRB3,PRB4,PRB1,A6,1,2,2,3,2,0,1,0,1
65,2023-05-09T10:03:06Z,10,0,0,0,1.7833333333333337,3,3,3,3,3,1.6666666666666667,3,2,0,1,3,0,0,2,3,1,1.25,0,2,1,1,1,3,2,0,08:05:08,485.1333333333333,8.085555555555555,PRB2,PRB4,PRB6,PRB3,PRB7,PRB1,PRB5,A6,0,0,1,2,0,1,2,1,1
101,2023-05-09T11:28:26Z,7,0,0,0,1.85,2.75,3,3,3,2,1,1,1,NA,1.6666666666666667,1,2,2,2,2,2,1.8333333333333333,2,1,NA,2,2,2,2,NA,08:02:11,482.18333333333334,8.036388888888888,PRB2,PRB5,PRB4,PRB3,PRB6,PRB7,PRB1,A3,4,0,3,NA,1,1,0,NA,0
14,2023-05-08T07:47:26Z,9,0,0,0,1.8976190476190475,2.25,2,3,2,2,1.3333333333333333,2,1,1,1.3333333333333333,1,2,1,2,2,2,2.5714285714285716,3,2,2,3,3,3,2,NA,07:46:19,466.31666666666666,7.771944444444444,PRB5,PRB2,PRB6,PRB4,PRB3,PRB1,PRB7,A5,1,0,2,2,0,1,1,1,1
13,2023-05-08T07:46:22Z,9,0,0,0,1.925,2.5,3,2,2,3,1,1,1,NA,2,1,3,2,2,2,2,2.125,2,1,2,3,3,3,2,1,06:50:13,410.21666666666664,6.836944444444444,PRB6,PRB2,PRB5,PRB1,PRB3,PRB4,PRB7,A5,1,1,2,0,0,1,1,3,1
17,2023-05-08T07:51:27Z,9,0,0,0,1.975,2,2,3,2,1,1.6666666666666667,2,2,1,2.3333333333333335,2,3,2,1.5,1,2,2.375,2,1,1,3,3,3,3,3,11:21:28,681.4666666666667,11.357777777777779,PRB4,PRB1,PRB6,PRB3,PRB5,PRB2,PRB7,A5,0,0,0,2,0,0,3,1,1
102,2023-05-09T11:28:47Z,7,0,0,0,2,2.3333333333333335,NA,3,2,2,1,2,0,NA,2.3333333333333335,2,3,2,2,1,3,2.3333333333333335,3,1,NA,3,1,3,3,NA,08:24:22,504.3666666666667,8.40611111111111,PRB4,PRB2,PRB5,PRB6,PRB3,PRB7,PRB1,A3,5,0,3,NA,0,0,0,NA,0
78,2023-05-09T10:47:41Z,9,0,0,0,2.033333333333333,2.25,2,3,2,2,1.3333333333333333,2,1,1,2.3333333333333335,2,3,2,2,2,2,2.25,2,3,3,3,2,2,2,1,09:36:38,576.6333333333333,9.610555555555555,PRB4,PRB5,PRB2,PRB6,PRB1,PRB3,PRB7,A5,0,0,1,3,1,1,2,0,1
64,2023-05-09T10:01:42Z,10,0,0,0,2.1,3,3,3,3,NA,1.3333333333333333,2,1,1,1.3333333333333333,1,2,1,3,3,3,1.8333333333333333,1,2,NA,3,2,1,2,NA,06:55:09,415.15,6.9191666666666665,PRB6,PRB2,PRB5,PRB4,PRB1,PRB7,PRB3,A6,3,0,3,3,2,1,0,0,1
10,2023-05-08T07:55:21Z,9,0,0,0,2.166666666666667,3,3,3,3,3,1.6666666666666667,2,2,1,2,2,2,2,2,2,2,2.1666666666666665,3,2,NA,2,2,2,2,NA,14:09:24,849.4,14.156666666666666,PRB4,PRB6,PRB7,PRB2,PRB3,PRB5,PRB1,A5,5,0,3,NA,1,1,0,NA,1
68,2023-05-09T10:01:10Z,10,0,0,0,2.175,2.75,3,3,3,2,2,3,1,2,1,1,2,0,2.5,2,3,2.625,2,2,2,3,3,3,3,3,06:02:12,362.2,6.036666666666666,PRB6,PRB4,PRB5,PRB1,PRB3,PRB7,PRB2,A6,0,0,1,1,0,0,2,2,1
71,2023-05-09T10:04:25Z,10,0,0,0,2.3595238095238096,2.75,2,3,3,3,1.3333333333333333,3,0,1,2,1,3,2,3,3,3,2.7142857142857144,3,3,2,3,2,3,3,NA,09:01:24,541.4,9.023333333333333,PRB2,PRB4,PRB6,PRB3,PRB7,PRB5,PRB1,A6,1,0,3,1,0,0,0,2,1
19,2023-05-08T07:53:06Z,9,0,0,0,2.3916666666666666,2.75,2,3,3,3,2,2,2,NA,2.3333333333333335,3,2,2,3,3,3,1.875,0,3,1,3,2,3,3,0,12:17:35,737.5833333333334,12.293055555555556,PRB1,PRB4,PRB3,PRB2,PRB7,PRB5,PRB6,A5,1,0,0,3,0,0,3,0,1
100,2023-05-09T11:27:42Z,7,0,0,0,2.4,2.5,2,2,3,3,1.5,2,1,NA,3,3,3,3,3,3,3,2,3,2,3,2,1,1,2,NA,07:28:27,448.45,7.474166666666666,PRB4,PRB2,PRB3,PRB5,PRB6,PRB1,PRB7,A3,3,1,NA,2,2,1,NA,1,0
84,2023-05-09T10:48:19Z,9,0,0,0,2.425,2.75,3,3,3,2,2.3333333333333335,1,3,3,2.6666666666666665,3,3,2,2.5,2,3,1.875,1,3,2,2,2,1,2,2,05:48:08,348.1333333333333,5.802222222222222,PRB4,PRB2,PRB1,PRB5,PRB3,PRB7,PRB6,A5,0,0,3,0,2,1,0,3,1
98,2023-05-09T11:26:52Z,7,0,0,0,2.5714285714285716,3,3,3,3,3,1,2,0,NA,3,3,3,3,3,3,3,2.857142857142857,3,3,NA,3,3,3,3,2,06:43:05,403.0833333333333,6.718055555555555,PRB6,PRB1,PRB2,PRB3,PRB4,PRB5,PRB7,A3,2,0,2,1,0,0,1,2,0
